SKU,Category,Lead Time (days)
10346,BEER,12
100009,WINE,17
100012,WINE,14
100023,WINE,14
100024,WINE,21
100080,WINE,18
1001,BEER,10
10014,BEER,13
100200,WINE,16
100293,WINE,14
10030,LIQUOR,13
100641,WINE,17
100749,WINE,21
100803,WINE,18
10095,BEER,9
10103,LIQUOR,13
101079,WINE,18
101117,WINE,18
10120,LIQUOR,12
10123,LIQUOR,12
10124,LIQUOR,16
10125,LIQUOR,20
101346,WINE,14
101370,WINE,20
101532,WINE,18
351772,WINE,19
101664,WINE,15
101672,WINE,14
101702,WINE,20
101753,WINE,20
101842,WINE,14
101915,WINE,14
101923,WINE,15
10197,LIQUOR,18
101974,WINE,14
102,STR_SUPPLIES,6
102032,WINE,21
102083,WINE,17
102148,WINE,17
10243,LIQUOR,12
10245,WINE,21
10264,WINE,19
10266,WINE,15
10269,LIQUOR,11
10270,LIQUOR,10
10271,BEER,14
10272,LIQUOR,11
10275,LIQUOR,16
10276,LIQUOR,17
10278,LIQUOR,18
10279,LIQUOR,14
103055,WINE,20
103098,WINE,14
10332,LIQUOR,18
10345,BEER,13
103608,WINE,21
10370,BEER,12
10375,LIQUOR,10
10387,KEGS,20
104,STR_SUPPLIES,3
10401,LIQUOR,16
10407,BEER,11
10413,WINE,16
104280,WINE,19
10430,BEER,13
104302,WINE,17
10431,BEER,7
10432,BEER,10
10434,BEER,8
10435,BEER,7
10436,BEER,12
10437,BEER,12
10438,BEER,14
10439,WINE,15
10440,WINE,16
10441,WINE,16
10442,LIQUOR,20
10443,LIQUOR,17
10444,LIQUOR,10
10445,LIQUOR,19
104450,WINE,19
104604,WINE,21
104639,WINE,17
10472,LIQUOR,18
10475,BEER,11
10478,BEER,8
10480,LIQUOR,11
10491,WINE,20
104949,WINE,14
10499,LIQUOR,10
105,STR_SUPPLIES,6
105023,WINE,17
10529,LIQUOR,15
10545,WINE,21
105490,WINE,16
1058,BEER,9
10593,BEER,10
106,STR_SUPPLIES,4
10603,BEER,9
10606,LIQUOR,19
10607,LIQUOR,18
10608,LIQUOR,19
10609,BEER,7
10610,BEER,10
10615,BEER,9
10632,KEGS,21
10634,LIQUOR,11
10636,LIQUOR,11
10637,WINE,14
10638,WINE,18
10646,BEER,14
106518,WINE,17
10665,LIQUOR,14
10666,LIQUOR,11
10667,LIQUOR,11
10668,LIQUOR,10
10669,LIQUOR,19
10671,LIQUOR,16
10674,LIQUOR,13
10675,LIQUOR,19
10676,LIQUOR,11
10677,LIQUOR,12
10678,LIQUOR,11
10686,BEER,8
106917,WINE,18
10693,WINE,21
10696,BEER,12
106968,WINE,19
10711,BEER,13
107123,WINE,16
10714,BEER,13
107239,WINE,16
107352,WINE,18
10737,WINE,21
10738,WINE,19
10740,WINE,17
107549,WINE,21
107557,WINE,15
10758,WINE,16
10768,BEER,7
10787,LIQUOR,13
10790,WINE,16
107921,WINE,19
10804,WINE,19
10818,BEER,10
10820,WINE,20
10828,BEER,10
10829,BEER,13
108367,WINE,20
10844,LIQUOR,19
10847,WINE,18
10850,WINE,16
10851,LIQUOR,13
10854,LIQUOR,15
10856,LIQUOR,16
10859,WINE,16
108596,WINE,17
10860,WINE,16
10861,WINE,14
10862,LIQUOR,12
108634,WINE,21
10864,LIQUOR,15
10865,LIQUOR,12
10866,LIQUOR,19
10867,LIQUOR,12
10869,LIQUOR,17
10870,LIQUOR,16
108790,WINE,15
10898,WINE,14
10899,WINE,18
10906,BEER,8
10907,LIQUOR,11
10908,LIQUOR,10
10909,BEER,11
10910,BEER,7
10930,LIQUOR,12
10931,BEER,13
10932,BEER,11
10934,BEER,7
10936,BEER,8
10940,BEER,8
10944,KEGS,15
10946,KEGS,14
109525,WINE,16
10953,KEGS,17
10954,KEGS,20
10959,LIQUOR,10
10961,LIQUOR,10
109630,WINE,14
10968,KEGS,17
10979,WINE,21
10994,BEER,12
110,STR_SUPPLIES,4
110000,LIQUOR,19
11496,BEER,11
110132,WINE,19
11019,WINE,21
110248,WINE,15
11029,LIQUOR,19
11037,LIQUOR,14
11055,BEER,14
11056,BEER,10
11057,BEER,13
11062,BEER,14
11073,BEER,8
11077,LIQUOR,11
11083,BEER,11
11084,LIQUOR,20
110841,WINE,19
11085,LIQUOR,17
11086,LIQUOR,14
11088,LIQUOR,20
11108,BEER,7
11109,BEER,10
11118,LIQUOR,16
111236,WINE,17
11142,WINE,20
11169,LIQUOR,17
111708,WINE,14
111740,WINE,20
11175,LIQUOR,11
112,REF,6
11207,LIQUOR,16
11215,WINE,21
112283,WINE,21
11231,LIQUOR,20
11266,LIQUOR,20
11271,BEER,13
11272,BEER,12
112720,WINE,16
112739,WINE,20
11274,WINE,19
112771,WINE,19
112836,WINE,14
11286,BEER,9
112917,WINE,21
11306,LIQUOR,20
11307,LIQUOR,12
11310,LIQUOR,16
11316,LIQUOR,15
11317,LIQUOR,11
11320,WINE,15
11339,LIQUOR,11
11340,WINE,19
11341,LIQUOR,14
113441,WINE,17
11350,LIQUOR,10
11354,BEER,11
11358,BEER,13
11359,BEER,13
11360,BEER,7
11373,LIQUOR,16
11374,LIQUOR,20
11375,LIQUOR,15
11376,LIQUOR,13
11380,LIQUOR,17
11382,LIQUOR,19
11383,LIQUOR,13
11387,LIQUOR,19
11391,LIQUOR,16
11395,LIQUOR,16
114,STR_SUPPLIES,7
11402,LIQUOR,15
11418,LIQUOR,15
114324,WINE,18
11436,LIQUOR,20
11441,BEER,8
11443,KEGS,17
11446,WINE,21
11448,LIQUOR,13
73919,LIQUOR,11
11451,LIQUOR,20
11452,LIQUOR,16
11453,LIQUOR,14
11454,LIQUOR,14
11455,LIQUOR,12
11456,LIQUOR,14
11457,LIQUOR,16
11458,WINE,21
11459,WINE,15
11460,LIQUOR,17
11462,LIQUOR,10
11463,LIQUOR,13
11464,LIQUOR,14
11482,LIQUOR,13
11487,LIQUOR,17
114936,WINE,17
11509,LIQUOR,16
115096,WINE,14
115185,WINE,14
11520,BEER,8
11523,BEER,9
11525,LIQUOR,16
11529,KEGS,21
115290,WINE,15
115320,WINE,21
11535,BEER,11
11536,BEER,9
11539,KEGS,15
11545,BEER,11
11548,BEER,10
11563,LIQUOR,18
11566,BEER,8
115800,WINE,18
11584,LIQUOR,18
11592,LIQUOR,15
116114,WINE,21
11622,WINE,21
11654,BEER,13
11655,BEER,10
11711,LIQUOR,10
11720,LIQUOR,10
11738,LIQUOR,17
11770,LIQUOR,13
11797,LIQUOR,12
11803,BEER,10
11805,WINE,14
11807,WINE,15
11811,KEGS,16
118168,WINE,14
118176,WINE,16
11819,LIQUOR,17
118192,WINE,16
11834,KEGS,19
11835,LIQUOR,18
11837,LIQUOR,14
11838,LIQUOR,17
118389,LIQUOR,16
11839,LIQUOR,18
11840,WINE,21
11841,LIQUOR,15
11843,LIQUOR,16
11844,LIQUOR,20
11851,LIQUOR,16
118516,WINE,14
118540,WINE,20
11860,LIQUOR,15
352240,WINE,15
11873,BEER,8
11874,BEER,12
11879,BEER,14
118826,WINE,18
118834,WINE,21
11886,LIQUOR,17
11888,BEER,11
11894,LIQUOR,19
11906,LIQUOR,15
119075,WINE,15
11911,BEER,9
119121,WINE,16
11918,KEGS,20
119229,WINE,14
119241,WINE,21
119261,LIQUOR,18
11927,LIQUOR,18
119270,WINE,20
11928,BEER,9
11938,BEER,13
11940,LIQUOR,16
119423,WINE,15
119539,WINE,19
11959,LIQUOR,18
119628,WINE,21
119741,WINE,18
119776,WINE,19
11985,WINE,19
11987,KEGS,17
12002,KEGS,16
12006,BEER,14
12008,BEER,7
12017,LIQUOR,10
12020,KEGS,19
120200,WINE,17
120413,WINE,18
12047,BEER,7
12050,BEER,13
120588,WINE,19
12060,BEER,9
120618,WINE,15
12064,BEER,11
12068,LIQUOR,11
120782,WINE,18
120804,WINE,14
120820,WINE,18
12085,BEER,14
120910,WINE,19
120960,WINE,19
12097,BEER,13
12102,BEER,11
12103,BEER,11
12104,BEER,12
121134,WINE,18
12118,BEER,14
12134,LIQUOR,20
121347,WINE,21
12135,LIQUOR,14
12136,LIQUOR,18
12138,WINE,15
12139,WINE,14
12141,WINE,20
12142,WINE,20
12144,WINE,16
12145,KEGS,19
12184,BEER,12
12193,BEER,11
12203,LIQUOR,15
12204,LIQUOR,15
12210,BEER,9
12211,WINE,20
12220,LIQUOR,15
12222,LIQUOR,10
12223,LIQUOR,18
12224,LIQUOR,19
122246,WINE,19
12225,LIQUOR,13
12227,BEER,14
122300,WINE,19
122475,WINE,20
12251,KEGS,19
12254,KEGS,16
12262,LIQUOR,11
122688,WINE,21
122734,WINE,16
122866,WINE,19
123250,WINE,18
12327,WINE,18
12351,WINE,15
12353,BEER,13
123552,WINE,16
12359,BEER,7
12362,BEER,12
123765,WINE,18
12378,LIQUOR,11
12384,BEER,7
12385,BEER,8
12394,LIQUOR,12
12395,BEER,8
124028,WINE,16
12404,BEER,7
12406,BEER,12
124109,WINE,15
41395,LIQUOR,12
124141,WINE,20
12419,LIQUOR,12
12421,LIQUOR,15
12422,BEER,11
12424,LIQUOR,13
124362,WINE,17
124621,WINE,18
124672,WINE,18
12480,BEER,11
12483,BEER,7
124974,WINE,20
125148,LIQUOR,14
12523,BEER,14
12526,LIQUOR,18
125261,WINE,19
12527,LIQUOR,11
12528,LIQUOR,19
12529,LIQUOR,16
12530,LIQUOR,19
12533,BEER,14
125369,WINE,14
12537,BEER,13
12548,LIQUOR,17
12556,LIQUOR,18
12566,BEER,7
12571,WINE,20
12572,LIQUOR,13
126055,WINE,21
12610,BEER,12
12611,BEER,13
12612,BEER,12
12629,LIQUOR,15
12631,KEGS,21
12632,BEER,13
126349,WINE,16
126438,WINE,19
12644,WINE,15
12648,LIQUOR,11
12651,BEER,14
12657,BEER,14
126578,LIQUOR,13
126691,WINE,17
126764,WINE,17
12686,BEER,7
126985,WINE,14
12709,BEER,14
12711,BEER,11
12723,BEER,14
12724,BEER,12
12730,KEGS,21
12740,LIQUOR,11
12742,BEER,8
127493,WINE,19
127680,WINE,17
127833,WINE,15
12785,LIQUOR,20
127922,WINE,15
12801,BEER,13
128031,WINE,17
128074,WINE,15
128090,WINE,16
12815,LIQUOR,19
12827,LIQUOR,13
12849,BEER,11
12861,BEER,12
12873,BEER,9
12874,BEER,14
12885,BEER,11
12891,KEGS,14
12893,BEER,7
128937,WINE,15
12894,BEER,8
128961,WINE,21
12899,BEER,11
12900,KEGS,16
129186,WINE,17
12920,LIQUOR,11
12934,KEGS,16
129445,WINE,19
12947,LIQUOR,18
12949,BEER,11
12963,LIQUOR,11
12971,LIQUOR,17
12976,BEER,7
12980,WINE,19
12992,BEER,12
12998,LIQUOR,12
13002,BEER,12
13011,KEGS,15
13020,BEER,10
13025,BEER,14
13036,WINE,19
130478,WINE,18
13054,KEGS,20
130656,WINE,19
13080,BEER,9
13083,BEER,11
13099,BEER,9
131172,WINE,20
131180,WINE,19
131229,WINE,15
131393,WINE,19
131415,WINE,17
13145,WINE,14
131458,WINE,14
131466,WINE,15
13153,WINE,14
131547,WINE,18
13188,WINE,15
13218,WINE,16
132713,WINE,15
132721,WINE,21
46251,WINE,21
13374,LIQUOR,11
134015,WINE,19
134040,WINE,20
134066,WINE,16
134112,WINE,20
13420,LIQUOR,17
13455,WINE,16
134791,WINE,16
13501,LIQUOR,11
135461,WINE,20
135470,WINE,18
135496,WINE,18
13552,WINE,14
13560,WINE,14
135607,WINE,14
135631,WINE,18
135747,WINE,15
135860,WINE,21
13587,LIQUOR,20
136409,WINE,18
13650,WINE,20
136891,WINE,21
13692,LIQUOR,18
136964,WINE,16
13714,WINE,20
13722,WINE,21
137448,WINE,21
13749,WINE,17
137510,WINE,15
137537,WINE,17
13773,WINE,18
137839,WINE,16
13803,WINE,17
13811,WINE,14
13846,WINE,19
138576,WINE,16
138584,WINE,15
138703,WINE,19
138711,WINE,19
138967,WINE,19
13919,WINE,20
139467,WINE,20
13960,WINE,15
139629,WINE,16
139785,WINE,21
139890,WINE,21
140,STR_SUPPLIES,4
14001,WINE,14
140163,WINE,17
14036,WINE,15
140384,WINE,20
14044,WINE,19
140465,WINE,14
14052,WINE,15
140570,WINE,17
1406,BEER,7
140600,WINE,16
140813,WINE,19
14087,LIQUOR,20
141127,WINE,14
141135,WINE,17
141143,WINE,18
14133,LIQUOR,20
14141,LIQUOR,12
14176,LIQUOR,17
14184,LIQUOR,16
142450,WINE,15
14249,WINE,15
14265,WINE,15
14311,LIQUOR,12
143286,WINE,21
143294,WINE,17
143642,WINE,21
143766,WINE,18
14400,LIQUOR,20
14443,LIQUOR,20
144460,WINE,15
144770,WINE,16
144835,WINE,18
145017,WINE,21
14516,WINE,17
145572,WINE,20
145661,WINE,19
14575,WINE,16
145839,WINE,14
145843,WINE,16
145858,WINE,16
14621,WINE,18
14648,WINE,16
146838,WINE,18
146919,WINE,19
14699,WINE,17
46013,LIQUOR,20
147222,WINE,16
14737,WINE,17
14753,WINE,14
147869,WINE,20
148016,WINE,17
148040,WINE,17
14818,WINE,14
148210,WINE,20
14834,WINE,17
148482,WINE,15
148547,WINE,21
148555,WINE,21
148610,WINE,19
148806,WINE,14
149365,WINE,18
149497,WINE,16
149691,WINE,14
149853,WINE,16
15008,LIQUOR,14
150126,WINE,18
150150,WINE,19
150339,WINE,19
150568,WINE,21
15091,WINE,16
15130,LIQUOR,11
15148,WINE,19
15156,LIQUOR,10
15164,LIQUOR,20
151769,WINE,15
152099,WINE,15
152110,WINE,20
152315,LIQUOR,17
152579,WINE,14
152609,WINE,14
15261,LIQUOR,17
153001,WINE,15
153010,WINE,18
153125,WINE,14
153150,WINE,15
15318,LIQUOR,10
15334,WINE,20
15342,LIQUOR,19
153451,WINE,17
153516,WINE,18
15385,LIQUOR,11
15407,WINE,20
154105,WINE,19
154300,WINE,16
15440,WINE,20
154466,LIQUOR,13
1546,BEER,12
154644,WINE,21
155454,WINE,19
155730,WINE,21
155837,LIQUOR,15
156043,WINE,18
1562,BEER,11
156426,WINE,21
156515,WINE,15
156728,WINE,14
156736,WINE,15
156744,WINE,14
15695,WINE,17
15709,WINE,18
157260,WINE,18
157600,WINE,19
157724,WINE,21
157805,WINE,19
157929,WINE,14
158151,WINE,15
158577,WINE,17
158690,WINE,19
15881,WINE,20
15920,WINE,19
159220,WINE,19
159344,WINE,20
159387,WINE,17
159557,WINE,16
159581,WINE,16
159638,WINE,21
15970,LIQUOR,10
159719,WINE,15
159727,WINE,21
159808,WINE,17
159824,WINE,18
159832,WINE,17
159883,WINE,15
15989,WINE,14
160008,WINE,16
160326,WINE,17
160350,WINE,20
16063,LIQUOR,12
16071,WINE,16
160741,WINE,18
160989,WINE,20
161268,WINE,19
161519,WINE,17
161780,WINE,21
161942,WINE,16
16195,WINE,17
16209,WINE,19
16225,WINE,19
162531,WINE,16
162556,WINE,19
162639,WINE,19
162655,WINE,16
162680,WINE,14
162698,WINE,21
1627,BEER,8
162744,WINE,15
162787,WINE,16
163090,WINE,18
16314,WINE,15
163180,WINE,18
16330,WINE,14
163481,WINE,15
16349,WINE,16
163538,WINE,16
163589,WINE,16
16365,LIQUOR,13
163708,WINE,20
163716,WINE,18
16373,WINE,14
163740,WINE,14
16390,LIQUOR,20
16420,LIQUOR,20
164330,WINE,19
164496,LIQUOR,20
164550,WINE,21
164593,LIQUOR,16
16489,LIQUOR,19
164984,WINE,21
16519,LIQUOR,18
16527,WINE,20
165301,WINE,19
16543,WINE,21
165492,LIQUOR,14
16560,WINE,21
16578,WINE,21
166049,WINE,15
166240,WINE,21
166242,WINE,18
166243,LIQUOR,18
166246,WINE,19
166247,LIQUOR,15
166248,LIQUOR,11
166254,WINE,15
166255,WINE,19
166259,WINE,18
166266,LIQUOR,13
166267,WINE,19
166268,WINE,14
166270,LIQUOR,15
166271,LIQUOR,15
166274,WINE,20
166276,WINE,20
166277,LIQUOR,13
166278,LIQUOR,14
166279,WINE,16
166280,WINE,18
166281,WINE,21
166282,LIQUOR,17
166283,LIQUOR,20
166284,WINE,14
166285,WINE,20
166286,WINE,21
166287,WINE,17
166291,LIQUOR,20
166292,WINE,17
166293,WINE,21
166295,LIQUOR,15
166298,WINE,21
166304,WINE,16
166306,WINE,16
166311,WINE,18
166325,WINE,19
166327,WINE,14
166328,WINE,16
166332,WINE,17
166333,WINE,21
166334,WINE,21
166335,LIQUOR,18
166338,WINE,20
166342,WINE,15
166343,WINE,18
166344,WINE,19
166347,WINE,15
166361,WINE,18
166367,WINE,21
166378,WINE,20
327227,WINE,17
166386,BEER,13
166387,BEER,11
166390,WINE,16
166407,WINE,16
166408,WINE,18
166412,BEER,13
166420,WINE,21
166425,WINE,21
166435,LIQUOR,20
166438,WINE,14
166445,LIQUOR,11
166446,LIQUOR,13
166447,LIQUOR,12
166449,WINE,15
166452,WINE,18
166453,WINE,17
166454,WINE,18
166455,LIQUOR,20
166466,WINE,17
166468,WINE,16
166469,WINE,21
166471,WINE,15
166472,WINE,17
166473,WINE,19
166474,LIQUOR,14
166475,LIQUOR,18
166476,LIQUOR,16
166479,WINE,19
166492,WINE,16
166497,WINE,16
166499,WINE,18
166500,WINE,19
166505,WINE,15
166507,WINE,16
166510,WINE,16
166528,WINE,21
166552,WINE,15
166559,BEER,9
166560,BEER,11
166564,WINE,17
166567,WINE,20
166568,WINE,21
166570,WINE,21
166588,WINE,19
166591,WINE,16
166597,LIQUOR,15
166600,WINE,14
166604,WINE,15
166607,WINE,18
166608,WINE,19
166610,WINE,14
166614,LIQUOR,17
166615,LIQUOR,12
166616,WINE,14
166617,WINE,16
166618,WINE,21
166620,WINE,14
166621,LIQUOR,19
166701,WINE,15
16691,WINE,17
16705,LIQUOR,18
167100,WINE,21
16721,WINE,17
167312,WINE,15
16756,WINE,20
167681,WINE,21
1678,BEER,9
168033,WINE,17
16810,LIQUOR,13
168521,WINE,16
169129,WINE,16
169161,NON-ALCOHOL,5
16918,LIQUOR,16
169722,WINE,16
16985,LIQUOR,17
169943,WINE,14
169994,WINE,21
17000,WINE,18
17027,WINE,20
17035,WINE,18
170461,WINE,14
17051,WINE,19
170704,WINE,20
17132,WINE,16
171487,WINE,18
171492,WINE,20
17159,WINE,19
172162,WINE,17
172235,WINE,17
17256,LIQUOR,16
172936,WINE,17
17353,LIQUOR,12
17361,LIQUOR,16
173649,WINE,15
173762,WINE,18
174440,WINE,19
17469,WINE,16
174971,WINE,15
175,DUNNAGE,4
17515,WINE,16
175501,WINE,20
175676,WINE,16
17574,WINE,17
17582,LIQUOR,10
1759,BEER,7
17590,LIQUOR,14
176001,WINE,19
1767,BEER,8
177091,WINE,17
177156,WINE,17
177474,WINE,14
1775,BEER,8
177741,WINE,18
178063,WINE,17
17817,WINE,19
17825,LIQUOR,10
17868,WINE,17
17876,LIQUOR,20
178918,WINE,16
17892,LIQUOR,16
17906,LIQUOR,20
17914,LIQUOR,19
179248,WINE,16
179272,WINE,15
17930,LIQUOR,12
179302,WINE,19
179310,WINE,19
179426,WINE,20
179620,WINE,21
17965,LIQUOR,20
179736,WINE,15
18007,LIQUOR,12
18015,LIQUOR,14
18023,LIQUOR,17
18031,WINE,15
180521,WINE,17
180661,LIQUOR,13
18074,WINE,15
18104,LIQUOR,12
181064,WINE,14
18112,WINE,17
181188,WINE,18
18139,WINE,20
181560,WINE,21
181722,WINE,20
182516,WINE,19
182850,WINE,14
182923,WINE,20
18295,LIQUOR,19
183130,WINE,18
183598,WINE,20
18384,WINE,20
18406,WINE,21
184101,WINE,19
18449,WINE,14
18457,WINE,20
18481,LIQUOR,20
185230,WINE,14
185361,WINE,16
185370,WINE,17
18546,LIQUOR,17
185515,WINE,14
18562,WINE,21
18570,WINE,14
186031,WINE,19
186139,WINE,17
18619,LIQUOR,12
186384,WINE,19
186635,WINE,21
186902,WINE,21
18694,LIQUOR,10
18716,WINE,18
18783,WINE,14
187879,WINE,17
1880,BEER,9
188026,WINE,18
188042,WINE,20
188050,WINE,21
188115,WINE,17
18821,LIQUOR,13
18830,WINE,18
188522,WINE,21
18856,WINE,16
188638,WINE,18
188697,WINE,16
188700,WINE,16
18872,WINE,16
18880,WINE,18
189006,WINE,18
189030,WINE,20
18910,WINE,20
189138,WINE,15
18937,WINE,20
189545,WINE,21
189677,WINE,17
189715,WINE,21
189782,WINE,20
1899,BEER,14
189979,WINE,17
19003,WINE,18
190136,WINE,15
19020,WINE,18
190454,WINE,15
190470,WINE,20
19054,WINE,21
190659,WINE,20
190721,WINE,15
19100,LIQUOR,18
19119,WINE,19
191248,WINE,19
19135,WINE,18
191701,WINE,16
191833,WINE,20
19194,WINE,16
191949,WINE,17
191957,WINE,19
19224,WINE,20
19240,WINE,21
192414,WINE,18
19267,WINE,19
192732,WINE,16
192767,WINE,16
19291,LIQUOR,19
19321,WINE,14
193232,WINE,14
193321,WINE,17
19356,WINE,15
193631,WINE,17
19364,WINE,19
19445,WINE,19
19453,LIQUOR,13
194743,WINE,19
19488,LIQUOR,15
19496,LIQUOR,17
194972,WINE,14
195103,WINE,21
195138,WINE,20
195154,WINE,17
19518,LIQUOR,14
19550,LIQUOR,14
195545,WINE,17
195642,WINE,16
19569,LIQUOR,19
195820,WINE,15
195839,WINE,16
19585,LIQUOR,17
19623,LIQUOR,15
196410,WINE,16
196673,WINE,19
19674,LIQUOR,16
19690,WINE,14
1970,BEER,9
197041,WINE,15
197459,WINE,17
197742,WINE,14
197793,WINE,18
19780,LIQUOR,12
197882,WINE,14
19801,WINE,14
198340,WINE,17
19836,WINE,21
19860,WINE,14
19879,LIQUOR,18
19917,WINE,16
19933,LIQUOR,13
199346,WINE,17
199354,WINE,14
199591,WINE,19
199672,WINE,17
19984,WINE,20
19992,LIQUOR,10
200000,WINE,17
20010,WINE,14
20083,BEER,14
200859,WINE,20
20086,KEGS,21
20087,WINE,17
200875,WINE,21
20089,BEER,9
20090,BEER,9
20091,BEER,9
20093,KEGS,14
201251,WINE,20
201308,WINE,19
201316,WINE,14
201855,WINE,16
20192,LIQUOR,15
201987,WINE,19
202088,WINE,14
20214,WINE,17
20257,WINE,17
202592,WINE,15
20265,LIQUOR,15
20281,LIQUOR,12
20290,LIQUOR,19
20311,LIQUOR,15
20389,WINE,20
203925,WINE,14
203939,WINE,15
20397,WINE,15
20419,WINE,16
20435,WINE,15
20443,LIQUOR,15
2046,BEER,9
20460,LIQUOR,18
20494,WINE,16
205,DUNNAGE,4
20613,LIQUOR,17
20621,WINE,14
20630,LIQUOR,10
20656,LIQUOR,10
20664,LIQUOR,15
20672,LIQUOR,13
20745,WINE,14
20826,WINE,21
20869,WINE,18
20877,WINE,19
20885,WINE,16
20907,WINE,14
